gene_norm,n_dataset_tp,n_datasets,datasets,cell_types,timepoints,max_log2FC,min_padj
Cdc42ep2,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.5653617,3.267342830150864e-05
Rell1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.5628812,5.120760828992613e-09
Cpne8,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.5169623823422504,1.2723576512531769e-11
Hbegf,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.4997965,5.785199093911601e-07
Tpm4,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.4937462633192304,3.6316531334718526e-14
Gimap6,3,2,GSE223744|GSE234052,Endothelial,1d|1h|24h,1.4491494,5.6147356410143e-12
Ccnl1,3,2,GSE223744|GSE234052,Endothelial,1d|1h|24h,1.277338,1.1334476713896887e-07
Bhlhe40,3,2,GSE223744|GSE234052,Endothelial,12h|1d|1h,1.2415874,5.723298270816493e-06
Ddx21,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.2221681040695964,1.5627188481713844e-07
Tagln2,3,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d|24h,1.1939915763747415,1.3477407504712479e-12
Fth1,3,2,GSE223744|GSE234052,Endothelial|Pericyte|SMC,12h|1d|24h,1.1925097023965652,2.275605052482577e-13
Rassf1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.1785393340820003,1.709933061357502e-06
Prnp,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.1775996938501272,3.118399380081836e-09
Smad1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.1639123,6.5588159532476135e-06
Nme2,3,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d|24h,1.161445,1.6826618135077853e-22
Tnfaip1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.1361437533515573,1.263005825827329e-06
Myh9,3,2,GSE223744|GSE234052,Endothelial,1d|1h|24h,1.1075777,1.792837121733097e-18
Pgk1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.0855976,7.420097153537555e-07
Atf4,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.0582981,8.14307711467967e-13
Dad1,3,2,GSE225948|GSE234052,Endothelial|Pericyte,12h|24h|Day2,1.0546853174641753,1.2389132570856137e-06
Map4k4,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.0363054110070962,1.1083943676516237e-08
Sertad1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,1.0231666671803548,5.490653529199583e-06
Eif2s2,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.9970471974038976,6.8476823296135755e-09
Cycs,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.978908457854948,1.5123231995305961e-07
Bax,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.9680230705254168,1.1479249115367225e-07
Snrpd1,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.849475631936372,3.7578213469449706e-08
N4bp3,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.7412979500221865,0.0006645639018032
Set,3,2,GSE223744|GSE234052,Endothelial,12h|1d|24h,0.647691,7.811782935436866e-06
Adamts4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,7.999739798887071,6.007184173961142e-19
Lrg1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,7.966775362875419,5.4368179872985735e-177
Ackr1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,7.687023202632711,5.462006767934064e-35
Lcn2,2,2,GSE223744|GSE234052,Endothelial,12h|1d,7.566070224035246,5.327082765185692e-56
Apln,2,2,GSE223744|GSE234052,Endothelial,1d|24h,5.7882586,5.347211529279072e-16
Cd14,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,5.783589786552186,6.742227143341442e-08
Chst1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,5.1302357,9.536500462243436e-07
Igfbp4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,4.43779950641484,1.734709005005324e-42
Atp8b1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,3.83397678133035,3.1121037600095616e-18
Ptgs2,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,3.672053530516328,0.0017485368070338
Lgals1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,3.5828661523294256,0.000725429531041
Ctla2b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,3.399725731947356,1.945295376209057e-35
Angptl4,2,2,GSE223744|GSE234052,Endothelial,12h|1d,3.265387406698693,4.653426443642092e-29
Pim1,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,3.2115464,3.317168540040488e-07
B3gnt3,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,3.1118918487009912,1.416812777760002e-33
Rdh10,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,2.8543785,0.0007554888578695
Cebpd,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,2.8114874108542214,2.8612458619716685e-22
Hmox1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.8106759946697712,0.0012051222317671
Kdm6b,2,2,GSE223744|GSE234052,Endothelial,1d|1h,2.7832515,2.6723884943302044e-06
Il4ra,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.675270401147955,2.404571160425108e-24
Ercc1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.3835667265301823,1.0805868485203352e-19
Tmcc3,2,2,GSE223744|GSE234052,Endothelial,1d|1h,2.351850727665421,0.0017435832668816
Mall,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.34698598605476,5.007054837071431e-16
Rai14,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.3048313639356146,3.4115435599511865e-18
Tmem176a,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,2.23854107250156,1.356935433573886e-38
Mt1,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,2.2101568250958223,0.0003937379959499
Ace,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,2.116088289795962,1.3802453262251793e-22
Il2rg,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,2.1115731334786423,1.6540787058513342e-20
Sbno2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.101815473049099,1.0820207724176533e-16
Ubtd1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.047436773285349,3.11915828520061e-10
Fxyd5,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,2.0471578,3.497592036330144e-30
Ppp1r14b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,2.0183756220888927,3.532551607196487e-08
Mrps28,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.996047939528612,0.0003527102901653
Gja4,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.9726582501614849,0.0021082015305491
Map1b,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.9480385,1.5751250386390302e-10
Uchl3,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.925957549655907,3.163812664613545e-13
Cebpb,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,1.902016508424096,8.776956653206001e-05
Gmpr,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.8982026547338744,7.483853827211143e-09
Dysf,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.8792054125622029,5.3360805357279875e-14
Bcr,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.8732596160041524,2.7671261917104824e-17
Arid5a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.8374876,1.881153104318543e-05
Cdkn1a,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,1.7773191193419768,4.050262263059142e-13
Rpl12,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.763635925426398,2.725055234585471e-35
Ccnd1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.7300377,3.1250058797883384e-11
Tpm3-rs7,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.726288828261458,3.4048631293406564e-05
Rpl32,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.6787298014951475,8.443192308961154e-08
Eif1a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.6695822119008636,1.4838099183831528e-15
Ctps,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.6661881859552847,1.2207297437850418e-17
Vsig2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.6182556,1.1256391470384865e-07
Vwf,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.6097848570913764,2.552219176047491e-08
Actr3,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.5835065661747652,4.631219491337441e-11
Pbdc1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.5831140236877324,0.0091245228488775
Pno1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.579910064511138,3.934029748032318e-12
Mrto4,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.5668116,1.1885279158009452e-10
Arpc1b,2,2,GSE223744|GSE234052,Endothelial|Pericyte,12h|1d,1.5615544,8.084423433163625e-14
Nop58,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.5585290912857748,2.51604735197124e-06
Kctd17,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.5530299096584703,6.874919115430523e-08
Snrpa1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.5220147101661297,6.730438938710626e-08
Socs3,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.5122143,1.1815491280730079e-09
Npdc1,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.5094885637744344,1.4281106188276758e-06
Slc39a1,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.4839202388945918,2.8346075518811282e-08
Mgp,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.470093474365986,3.3696309834920585e-12
Rapgef5,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.4476812331142044,3.1664847622283644e-06
Tgm2,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.42960659973076,1.8187883525075012e-14
Ptpn1,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,1.4163274,0.0008958682694714
C1qbp,2,2,GSE223744|GSE225948,Endothelial,1d|Day2,1.4050866349212618,0.0003956157292574
Clic1,2,2,GSE223744|GSE234052,Endothelial|SMC,1d|24h,1.394281380363334,5.995060960374876e-14
Mybbp1a,2,2,GSE223744|GSE234052,Endothelial,1d|24h,1.3883487,8.527952146929774e-07
Pakap,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.3832303896108238,3.184867988583049e-05
S1pr1,2,2,GSE223744|GSE234052,Endothelial,1d|1h,1.3757809187380152,7.492598150018594e-11
Hsd3b7,2,2,GSE223744|GSE234052,Endothelial,12h|1d,1.3741144813865445,6.597451966855828e-09
Sec61b,2,2,GSE225948|GSE234052,Endothelial|Pericyte,12h|Day2,1.349870364671667,0.0003832126795701
